date,rate
1999-01-04,8002.044278564764
1999-01-05,7900.3477523324855
1999-01-06,7951.698884441796
1999-01-07,7925.352475928474
1999-01-08,7995.222574834891
1999-01-11,8000.354395366929
1999-01-12,8073.958333333335
1999-01-13,8698.560967302452
1999-01-14,8651.128464773019
1999-01-15,8958.111130225358
1999-01-18,8447.459524629694
1999-01-19,8570.21349862259
1999-01-20,8468.786177105832
1999-01-21,8648.893881783615
1999-01-22,8907.71159332584
1999-01-25,9348.800069060773
1999-01-26,9168.278362977035
1999-01-27,9176.199149969641
1999-01-28,9150.420683610866
1999-01-29,8923.049894588896
1999-02-01,8898.456517904393
1999-02-02,8799.25024256858
1999-02-03,8427.61753550322
1999-02-04,8676.17863801829
1999-02-05,8750.398512221042
1999-02-08,8899.608749777699
1999-02-09,8750.40148239654
1999-02-10,8601.904426027155
1999-02-11,8702.705091937765
1999-02-12,8752.739238705086
1999-02-15,8598.861007296673
1999-02-16,8749.615246957766
1999-02-17,8755.842886341421
1999-02-18,8824.23433048433
1999-02-19,8827.779270805338
1999-02-22,8902.037845705969
1999-02-23,8831.862521651929
1999-02-24,8798.024825586663
1999-02-25,8840.712537394616
1999-02-26,8828.217462334364
1999-03-01,8864.127070817403
1999-03-02,8866.22577385873
1999-03-03,8863.785668409944
1999-03-04,8894.689858273514
1999-03-05,8760.014768321951
1999-03-08,8947.139713971397
1999-03-09,8978.744361594403
1999-03-10,9072.938920843606
1999-03-11,9465.117987328988
1999-03-12,9200.439077936335
1999-03-15,8749.611836697417
1999-03-16,8791.945693055683
1999-03-17,9000.848075870874
1999-03-18,9023.374500544862
1999-03-19,8876.637654603757
1999-03-22,8890.427098674521
1999-03-23,8898.788546255508
1999-03-24,8850.42093704246
1999-03-25,8846.357129748578
1999-03-26,8868.035136384653
1999-03-29,8824.607182940517
1999-03-30,8730.716086266455
1999-03-31,8698.799106311673
1999-04-01,8645.432603044932
1999-04-02,8626.225399183068
1999-04-05,8650.418526785716
1999-04-06,8776.729442476226
1999-04-07,8748.806881243063
1999-04-08,8752.84710667406
1999-04-09,8747.995917609946
1999-04-12,8731.029723014632
1999-04-13,8724.598235020901
1999-04-14,8651.617687957727
1999-04-15,8660.90302243649
1999-04-16,8654.865016872891
1999-04-19,8634.19518616021
1999-04-20,8626.084914521885
1999-04-21,8640.005667863215
1999-04-22,8596.229089878083
1999-04-23,8573.801015610306
1999-04-26,8622.168833615979
1999-04-27,8586.62276575729
1999-04-28,8542.602662666417
1999-04-29,8254.620897774425
1999-04-30,8226.903840709634
1999-05-03,7948.134856927
1999-05-04,7949.271109428248
1999-05-05,8011.380894347051
1999-05-06,8036.762663209555
1999-05-07,7850.380122380864
1999-05-10,7717.149510945506
1999-05-11,7678.94148341409
1999-05-12,7827.524659464537
1999-05-13,7829.354170589343
1999-05-14,7814.275009366804
1999-05-17,7960.748713149274
1999-05-18,7875.0140318054255
1999-05-19,8086.966334399098
1999-05-20,8025.002349844909
1999-05-21,8039.245175936437
1999-05-24,8055.389702409068
1999-05-25,7984.257081020044
1999-05-26,8090.004746084479
1999-05-27,8098.0998758712885
1999-05-28,8104.618761332188
1999-05-31,8099.25401683244
1999-06-01,8125.004792026067
1999-06-02,8153.043729531882
1999-06-03,8174.6195338085145
1999-06-04,8075.802229762482
1999-06-07,7727.626987204342
1999-06-08,7606.836783822821
1999-06-09,7749.264284349322
1999-06-10,7716.116097002099
1999-06-11,7673.544013748329
1999-06-14,7449.295774647887
1999-06-15,7285.710161662819
1999-06-16,7268.960850652489
1999-06-17,7269.661508704062
1999-06-18,7286.503658067001
1999-06-21,7004.07196053777
1999-06-22,6886.706099098225
1999-06-23,6698.005836575876
1999-06-24,6753.9288828601875
1999-06-25,6896.65804845351
1999-06-28,6614.054678475164
1999-06-29,6678.068313392512
1999-06-30,6665.007745933385
1999-07-01,6849.006235385815
1999-07-02,6829.342837613514
1999-07-05,6701.319390148553
1999-07-06,6717.6303688484495
1999-07-07,6725.337507337116
1999-07-08,6619.357690041249
1999-07-09,6642.728341826734
1999-07-12,6625.651916238641
1999-07-13,6634.351369930277
1999-07-14,6644.138473642802
1999-07-15,6704.676012155671
1999-07-16,6768.653205253872
1999-07-19,6719.672777449241
1999-07-20,6682.756964457253
1999-07-21,6710.96348690499
1999-07-22,6775.654824268978
1999-07-23,6905.335365853658
1999-07-26,7026.977005047672
1999-07-27,6990.665286534299
1999-07-28,6876.29916061492
1999-07-29,6814.681647940074
1999-07-30,6835.964092014215
1999-08-02,6857.74964838256
1999-08-03,6892.916862376703
1999-08-04,6911.216429699842
1999-08-05,7014.678899082569
1999-08-06,7030.986964618249
1999-08-09,7054.675385333956
1999-08-10,7339.45236099469
1999-08-11,7885.3768278965135
1999-08-12,8076.151532242902
1999-08-13,7916.593231461517
1999-08-16,7523.576234246187
1999-08-17,7685.684430512018
1999-08-18,7378.168679281163
1999-08-19,7275.354188456783
1999-08-20,7173.047717258835
1999-08-23,7539.656798038846
1999-08-24,7747.583713850838
1999-08-25,7574.647752324357
1999-08-26,7497.139303482588
1999-08-27,7560.009569377991
1999-08-30,7709.269179261526
1999-08-31,7705.731580440746
1999-09-01,7683.567323094318
1999-09-02,7715.3723504033005
1999-09-03,7859.642389065718
1999-09-06,8063.1111950160475
1999-09-07,8341.978230004732
1999-09-08,8638.735513050035
1999-09-09,8685.422960725076
1999-09-10,8250.408745247149
1999-09-13,7901.160317153355
1999-09-14,8174.609148812971
1999-09-15,8141.4408332529665
1999-09-16,8150.7905900501355
1999-09-17,8185.7939790324135
1999-09-20,8389.198539304247
1999-09-21,8324.61494031575
1999-09-22,8400.409173089733
1999-09-23,8802.962607861937
1999-09-24,8683.36197021764
1999-09-27,8425.811407720375
1999-09-28,8467.432986740436
1999-09-29,8395.001420051121
1999-09-30,8400.403187998125
1999-10-01,7984.265473527219
1999-10-04,7990.969306838324
1999-10-05,7755.727119595733
1999-10-06,7775.738101890657
1999-10-07,7763.920216236369
1999-10-08,7864.267617528385
1999-10-11,7802.06941962186
1999-10-12,7782.330333708287
1999-10-13,8147.652625719057
1999-10-14,8209.20245398773
1999-10-15,7995.3813598307115
1999-10-18,7872.8376886271635
1999-10-19,7595.710852283231
1999-10-20,7475.364201540317
1999-10-21,6941.002130221357
1999-10-22,6825.96207473508
1999-10-25,6854.6850135729655
1999-10-26,6853.7947898053235
1999-10-27,6869.98673237301
1999-10-28,6973.352952344789
1999-10-29,6908.3134028508575
1999-11-01,6766.486946651533
1999-11-02,6712.344151518036
1999-11-03,6750.004765989896
1999-11-04,6776.618431073876
1999-11-05,6833.36856264412
1999-11-08,6786.958193176358
1999-11-09,6847.966231772832
1999-11-10,6899.673139780812
1999-11-11,7128.771862387084
1999-11-12,7064.318975552968
1999-11-15,6950.354334530628
1999-11-16,7029.431114551083
1999-11-17,6978.026518063029
1999-11-18,6985.28901734104
1999-11-19,7052.456464636638
1999-11-22,7055.901464455436
1999-11-23,7128.96752302472
1999-11-24,7091.052373959863
1999-11-25,7206.062389640964
1999-11-26,7219.651519651519
1999-11-29,7342.820283814627
1999-11-30,7330.088144993561
1999-12-01,7296.194628877217
1999-12-02,7280.491200159093
1999-12-03,7253.689465801297
1999-12-06,7176.537026124533
1999-12-07,7196.8453950581115
1999-12-08,7207.463853067605
1999-12-09,7231.823095823095
1999-12-10,7227.502218716103
1999-12-13,7233.935624012639
1999-12-14,7228.202829248854
1999-12-15,7103.5924558427305
1999-12-16,7057.441356199487
1999-12-17,7100.236966824645
1999-12-20,7077.2880348652925
1999-12-21,7109.1630305434355
1999-12-22,7093.597379392495
1999-12-23,7075.260184359203
1999-12-24,6972.608952869256
1999-12-27,6996.556147621867
1999-12-28,7035.513926058084
1999-12-29,7081.681890389197
1999-12-30,7020.4758112681675
2000-01-03,7069.692765113975
2000-01-04,7050.131004366813
2000-01-05,7173.967978395062
2000-01-06,7215.556411243743
2000-01-07,7194.554647996889
2000-01-10,7156.603773584906
2000-01-11,7266.7804212168485
2000-01-12,7210.457896779201
2000-01-13,7216.718567536005
2000-01-14,7166.063569682152
2000-01-17,7266.148206855557
2000-01-18,7252.491826018031
2000-01-19,7347.91687283523
2000-01-20,7326.464466250372
