date,IDR,MYR,THB,SGD,PHP
1999-01-04,8002.044278564764,3.7999830350326573,36.20315548392569,1.65866485707015,38.60378318771736
1999-01-05,7900.3477523324855,3.800254452926209,36.05156912637829,1.6670907548770144,37.95165394402035
1999-01-06,7951.698884441796,3.801158136762327,36.35774503959806,1.6775100059609982,38.2117005875841
1999-01-07,7925.352475928474,3.8001203576341127,36.251547455295736,1.670907840440165,38.20151306740028
1999-01-08,7995.222574834891,3.799210910026589,36.50313062869886,1.6757011750578952,37.99210910026589
1999-01-11,8000.354395366929,3.800674215576109,36.266574466246,1.6732647592704641,37.65666868355086
1999-01-12,8073.958333333335,3.799479166666667,36.4453125,1.679079861111111,37.895833333333336
1999-01-13,8698.560967302452,3.8005790190735693,37.03371934604905,1.6872445504087192,38.80534741144414
1999-01-14,8651.128464773019,3.8003947481335283,37.00480562945164,1.683257530249721,38.50510598129237
1999-01-15,8958.111130225358,3.7994151040770685,37.33373473249613,1.6832960605539309,38.69516600722518
1999-01-18,8447.459524629694,3.798828797795384,36.4440234240441,1.6835170513262143,38.23889080261798
1999-01-19,8570.21349862259,3.7926997245179064,36.47959710743802,1.6805268595041323,38.32730716253444
1999-01-20,8468.786177105832,3.7912742980561553,36.423326133909285,1.67585313174946,38.31187904967602
1999-01-21,8648.893881783615,3.799343242309022,36.445298997580366,1.673695126166609,38.14379536812997
1999-01-22,8907.71159332584,3.7983055243364747,36.881905420593064,1.6824587187689115,38.63318059998271
1999-01-25,9348.800069060773,3.7995511049723754,36.84530386740332,1.6882769337016572,38.745683701657455
1999-01-26,9168.278362977035,3.7971852875151098,36.66309791055086,1.6846831289932656,38.42168882749094
1999-01-27,9176.199149969641,3.7954722872755657,36.7298117789921,1.686703096539162,38.65556422933472
1999-01-28,9150.420683610866,3.799912357581069,36.95162138475022,1.6906222611744084,38.64855390008764
1999-01-29,8923.049894588896,3.7991040056219254,36.92190794096978,1.6894764581869288,38.49174279690794
1999-02-01,8898.456517904393,3.7941435879343803,36.773593226318575,1.6906861880402189,38.54207091197742
1999-02-02,8799.25024256858,3.800035282702655,36.69683337743672,1.6859839463702921,38.54988092087854
1999-02-03,8427.61753550322,3.8011819705389436,36.69136455852519,1.687571667989768,38.46696656963923
1999-02-04,8676.17863801829,3.800585989523217,36.74997780342715,1.6877386131581282,38.60516736215928
1999-02-05,8750.398512221042,3.800212539851222,36.781703861140635,1.6888062345023025,38.60166489550124
1999-02-08,8899.608749777699,3.799928863595945,36.92841899341988,1.6896674373110439,39.39889738573715
