date,rate,ret,log_ret,ma30,ma90,vol30,vol90,ret_z
1999-01-04,8002.044278564764,,,,,,,
1999-01-05,7900.347752332485,-0.012708818233447605,-0.0127902660702226,,,,,
1999-01-06,7951.698884441796,0.006499857185925828,0.0064788242059226064,,,,,
1999-01-07,7925.352475928474,-0.003313305608801498,-0.0033188067605234295,,,,,
1999-01-08,7995.222574834891,0.008816024160267055,0.008777389920160417,,,,,
1999-01-11,8000.354395366929,0.0006418608717899676,0.0006416549672039196,,,,,
1999-01-12,8073.958333333335,0.009200084687377208,0.009158021700118368,,,,,
1999-01-13,8698.560967302452,0.07736015076897851,0.07451374410262801,,,,,
1999-01-14,8651.128464773019,-0.005452913729952602,-0.005467835132158427,,,,,
1999-01-15,8958.111130225358,0.03548469621071493,0.034869622614124296,,,,,
1999-01-18,8447.459524629694,-0.05700438386756401,-0.058693645211620904,,,,,
1999-01-19,8570.21349862259,0.014531466369858359,0.014426896431467995,,,,,
1999-01-20,8468.786177105832,-0.011834865202956624,-0.011905454717846098,,,,,
1999-01-21,8648.893881783615,0.021267239591510556,0.021044247922555215,,,,,
1999-01-22,8907.71159332584,0.029924949372699405,0.029485934900085553,,,,,
1999-01-25,9348.800069060771,0.04951759732156358,0.048330627476296684,,,,,
1999-01-26,9168.278362977037,-0.01930961243691154,-0.019498478239842854,,,,,
1999-01-27,9176.19914996964,0.0008639339556473224,0.0008635609795089039,,,,,
1999-01-28,9150.420683610866,-0.002809274944611362,-0.002813228363363507,,,,,
1999-01-29,8923.049894588896,-0.02484812413370341,-0.025162049995916647,,,,,
1999-02-01,8898.456517904393,-0.002756162632175374,-0.0027599678418628315,,,,,
1999-02-02,8799.25024256858,-0.011148705973468842,-0.011211318597341702,,,,,
1999-02-03,8427.61753550322,-0.04223458781379963,-0.043152403454424615,,,,,
1999-02-04,8676.17863801829,0.02949363820414863,0.02906706796602876,,,,,
1999-02-05,8750.398512221042,0.008554442837025888,0.008518060928301097,,,,,
1999-02-08,8899.608749777699,0.017051821965395897,0.016908071486410492,,,,,
1999-02-09,8750.40148239654,-0.016765598530933734,-0.01690773205329954,,,,,
1999-02-10,8601.904426027155,-0.016970313495686118,-0.017115959388318558,,,,,
1999-02-11,8702.705091937765,0.011718412681453794,0.011650283808537054,,,,,
1999-02-12,8752.739238705086,0.0057492637333733665,0.005732799790195031,8607.528417594602,,,,
1999-02-15,8598.861007296673,-0.01758057988611783,-0.017736953753411555,8627.422308552332,,0.4171418798479513,,
1999-02-16,8749.615246957766,0.017531884691841082,0.017379974150118827,8655.73122503984,,0.4166226289127316,,
1999-02-17,8755.842886341421,0.0007117615126928101,0.0007115083305979653,8682.536025103162,,0.41662709798085623,,
1999-02-18,8824.23433048433,0.007810949217647023,0.0077806016800856526,8712.498753588357,,0.41628288305149763,,
1999-02-19,8827.779270805338,0.000401727808696295,0.00040164713768575666,8740.250643454037,,0.41613673163141207,,
1999-02-22,8902.037845705969,0.008411920214884905,0.008376737180924465,8770.30675846534,,0.4162601382554828,,
1999-02-23,8831.862521651929,-0.007883062875079783,-0.007914298478334914,8795.570231409294,,0.4173117174541142,,
1999-02-24,8798.024825586663,-0.003831320515045422,-0.0038386788241968617,8798.8856933521,,0.35363352841451645,,
1999-02-25,8840.712537394616,0.004851965373387834,0.00484023252567134,8805.205162439488,,0.35335688360445955,,
1999-02-26,8828.217462334364,-0.001413356107598962,-0.0014143558374364318,8800.875373509787,,0.3378759601194431,,
1999-03-01,8864.127070817403,0.004067594464709057,0.004059344167353984,8814.764291716043,,0.29200938857343534,,
1999-03-02,8866.22577385873,0.00023676364571034725,0.00023673562162151995,8824.63136755725,,0.2895088290131054,,
1999-03-03,8863.785668409944,-0.00027521354757065186,-0.0002752514257693406,8837.798017267387,,0.286880653914841,,
1999-03-04,8894.689858273514,0.0034865678187268045,0.0034805038320619985,8845.991216483717,,0.28089642849749935,,
1999-03-05,8760.014768321951,-0.015141066422489469,-0.015256862708366015,8841.067988983586,,0.2708783356272856,,
1999-03-08,8947.139713971397,0.021361259152910206,0.021136305349076068,8827.679310480606,,0.2357956526519307,,
1999-03-09,8978.744361594403,0.0035323744384647693,0.0035261502569987613,8821.361510434519,,0.22990200193196558,,
1999-03-10,9072.938920843606,0.010490838747131415,0.010436191761195701,8817.919502796985,,0.23211495266818888,,
1999-03-11,9465.117987328988,0.04322514125873966,0.042317012032841106,8828.40941292092,,0.2639115985956099,,
1999-03-12,9200.439077936337,-0.027963614373003876,-0.028362041449694786,8837.655719032504,,0.26672938250955863,,
1999-03-15,8749.611836697417,-0.04900062240725589,-0.05024187091357035,8832.694229658937,,0.3037330660075043,,
1999-03-16,8791.945693055683,0.004838369649806662,0.004826702358018409,8832.450744675176,,0.30234051555995073,,
1999-03-17,9000.848075870874,0.023760654365755807,0.023482763325864298,8851.558429354096,,0.28175003250724223,,
1999-03-18,9023.374500544862,0.0025027002438109403,0.0024995737049966493,8863.13162477165,,0.2697579339097931,,
1999-03-19,8876.637654603757,-0.01626185923373169,-0.01639553445277464,8867.339596184405,,0.27363842787434967,,
1999-03-22,8890.427098674521,0.0015534535268106886,0.0015522481660337206,8867.033541147634,,0.269202961555375,,
1999-03-23,8898.788546255508,0.0009405001006344005,0.0009400581075222902,8871.9797766096,,0.26440914439404534,,
1999-03-24,8850.42093704246,-0.005435302677621268,-0.005450127678534145,8880.263660310107,,0.2597853108224402,,
1999-03-25,8846.357129748578,-0.0004591654253272015,-0.00045927087405139844,8885.052061570468,,0.25784213690334645,,
1999-03-26,8868.035136384653,0.002450500959674917,0.00244750337825117,8888.895258159788,,0.2574548698190007,,
1999-03-29,8824.607182940517,-0.004897133668985476,-0.004909163919974091,8896.42013068125,,0.2522591958228391,,
